state_ID,year,c02-emission
ME,1997,19.671101
ME,1996,19.448937
ME,1995,18.944104
ME,1994,20.280353
ME,1993,18.875752
ME,1992,19.358999
ME,1991,18.555944
ME,1990,19.029938
ME,1989,19.27502
ME,1988,20.57686
ME,1987,17.510855
ME,1986,18.745181
ME,1985,14.83704
ME,1984,15.298041
ME,1983,13.410865
ME,1982,17.670382
ME,1981,14.454053
ME,1980,14.660392
NV,2017,36.399678
NV,2016,36.504792
NV,2015,35.097105
NV,2014,37.081772
NV,2013,36.228894
NV,2012,34.362347
NV,2011,33.704141
NV,2010,37.408835
NV,2009,39.231333
NV,2008,40.731923
NV,2007,41.511162
NV,2006,41.306772
NV,2005,49.758571
NV,2004,47.62975
NV,2003,43.516188
NV,2002,41.355056
NV,2001,44.573498
NV,2000,45.252069
NV,1999,41.179977
NV,1998,40.559274
NV,1997,37.899861
NV,1996,37.977835
NV,1995,35.348073
NV,1994,36.18853
NV,1993,33.93182
NV,1992,33.558055
NV,1991,32.562623
NV,1990,30.650351
NV,1989,31.164844
NV,1988,31.104114
NV,1987,27.175358
NV,1986,26.815336
NV,1985,23.239387
NV,1984,26.20259
NV,1983,24.968558
NV,1982,25.091079
NV,1981,23.584669
NV,1980,22.130614
VA,2017,98.481411
VA,2016,103.882284
VA,2015,102.860265
VA,2014,103.779349
VA,2013,104.651387
VA,2012,97.415561
VA,2011,99.459563
VA,2010,108.298889
VA,2009,105.125553
VA,2008,116.178708
VA,2007,127.353402
VA,2006,122.048638
VA,2005,128.506282
VA,2004,126.632919
VA,2003,122.951879
VA,2002,118.764252
VA,2001,120.213747
VA,2000,122.46722
VA,1999,113.558238
VA,1998,111.442084
VA,1997,109.500731
VA,1996,107.357754
VA,1995,102.772412
VA,1994,100.474087
VA,1993,101.619358
VA,1992,97.33186
VA,1991,96.198796
VA,1990,94.920013
VA,1989,99.557526
VA,1988,96.414162
VA,1987,93.232158
VA,1986,86.709953
VA,1985,82.020749
VA,1984,82.55974
VA,1983,76.745349
VA,1982,74.447593
VA,1981,77.969435
VA,1980,81.856767
ID,2017,18.552767
ID,2016,18.267756
ID,2015,17.852241
ID,2014,16.592056
ID,2013,17.054331
ID,2012,15.583881
ID,2011,15.710533
ID,2010,15.894076
ID,2009,15.092453
ID,2008,15.466057
ID,2007,16.242758
ID,2006,15.735938
ID,2005,15.69257
ID,2004,15.534351
ID,2003,14.330327
ID,2002,14.93192
ID,2001,15.512057
ID,2000,15.58261
ID,1999,14.870497
ID,1998,14.00153
ID,1997,13.756503
ID,1996,13.953809
ID,1995,13.340284
ID,1994,12.545992
ID,1993,12.406198
ID,1992,11.294179
ID,1991,12.005593
ID,1990,11.31363
ID,1989,11.161405
ID,1988,10.569939
ID,1987,10.029874
ID,1986,9.768125
ID,1985,9.919494
ID,1984,9.734724
ID,1983,9.635688
ID,1982,9.762056
ID,1981,10.155544
ID,1980,11.233452
GA,2017,132.695538
GA,2016,135.866042
GA,2015,136.696936
GA,2014,139.349685
GA,2013,134.180946
GA,2012,135.837665
GA,2011,156.025685
GA,2010,171.351718
GA,2009,161.815957
GA,2008,171.747435
GA,2007,184.307341
GA,2006,181.560211
GA,2005,184.107909
GA,2004,173.577721
GA,2003,168.513631
GA,2002,165.329304
GA,2001,160.530104
GA,2000,168.184662
GA,1999,159.935681
GA,1998,157.307063
GA,1997,156.219135
GA,1996,155.323838
GA,1995,151.140093
GA,1994,142.783679
GA,1993,139.932213
GA,1992,130.671135
GA,1991,131.272578
GA,1990,139.20162
GA,1989,133.692529
GA,1988,138.56341
GA,1987,136.154669
GA,1986,130.66986
GA,1985,136.265721
GA,1984,129.49919
GA,1983,116.899361
GA,1982,109.735159
GA,1981,112.977454
GA,1980,112.477136
RI,2017,10.046786
RI,2016,9.670547
RI,2015,10.838404
RI,2014,10.583647
RI,2013,10.083102
RI,2012,10.4774
RI,2011,10.974463
RI,2010,10.944773
RI,2009,11.172167
RI,2008,10.603685
RI,2007,11.00218
RI,2006,10.456633
RI,2005,11.125632
RI,2004,10.86136
RI,2003,11.436055
RI,2002,11.642677
RI,2001,12.218296
RI,2000,11.662012
RI,1999,13.156563
RI,1998,13.801026
RI,1997,13.543799
RI,1996,13.473494
RI,1995,12.064342
RI,1994,12.804828
RI,1993,10.805822
RI,1992,13.03
RI,1991,10.778228
RI,1990,8.871849
RI,1989,9.243148
RI,1988,10.352389
RI,1987,9.852064
RI,1986,9.555815
RI,1985,8.485999
RI,1984,8.471483
RI,1983,7.685678
RI,1982,7.447168
RI,1981,7.774024
RI,1980,8.423404
CA,2017,360.913489
CA,2016,359.261859
CA,2015,359.290429
CA,2014,351.477053
CA,2013,354.219
CA,2012,351.496006
CA,2011,346.864178
CA,2010,360.953079
CA,2009,366.184902
CA,2008,379.480916
CA,2007,395.340927
CA,2006,390.164017
CA,2005,381.471792
CA,2004,384.145104
CA,2003,366.652725
CA,2002,377.496634
CA,2001,379.365907
CA,2000,374.765535
CA,1999,358.770555
CA,1998,355.138737
CA,1997,344.744944
CA,1996,342.358388
CA,1995,343.799384
CA,1994,354.904898
CA,1993,338.89098
CA,1992,349.488584
CA,1991,345.306648
CA,1990,357.641224
CA,1989,357.386027
CA,1988,342.754725
CA,1987,334.57146
CA,1986,304.143786
CA,1985,319.602879
CA,1984,315.858105
CA,1983,293.436371
CA,1982,298.004398
CA,1981,334.381538
CA,1980,346.183721
AL,2017,109.018634
AL,2016,114.872696
AL,2015,120.012608
AL,2014,123.080771
AL,2013,120.732885
AL,2012,123.039324
AL,2011,129.812612
AL,2010,132.722932
AL,2009,120.020443
AL,2008,139.666603
AL,2007,147.442653
AL,2006,145.716485
AL,2005,143.338616
AL,2004,141.59458
AL,2003,139.442399
AL,2002,138.429455
AL,2001,133.503195
AL,2000,142.045907
AL,1999,135.932456
AL,1998,133.408692
AL,1997,134.144351
AL,1996,137.341464
AL,1995,131.341955
AL,1994,123.559985
AL,1993,125.627591
AL,1992,121.036189
AL,1991,114.386096
AL,1990,110.014074
AL,1989,109.535316
AL,1988,104.110123
AL,1987,102.728117
AL,1986,100.844505
AL,1985,100.538642
AL,1984,94.275041
AL,1983,89.135038
AL,1982,89.881566
AL,1981,102.145508
AL,1980,106.034902
IN,2017,176.963915
IN,2016,182.103758
IN,2015,186.230267
IN,2014,205.600214
IN,2013,200.059428
IN,2012,194.572961
IN,2011,209.250043
IN,2010,216.651719
IN,2009,204.212458
IN,2008,227.085998
IN,2007,231.449272
IN,2006,231.525401
IN,2005,233.76248
IN,2004,234.688759
IN,2003,235.503901
IN,2002,229.381625
IN,2001,226.199714
IN,2000,236.4043
IN,1999,222.73338
IN,1998,216.626614
IN,1997,215.89024
IN,1996,211.802201
IN,1995,207.399691
IN,1994,201.978635
IN,1993,202.470563
IN,1992,197.675332
IN,1991,201.278973
IN,1990,204.6788
IN,1989,196.497905
IN,1988,191.920639
IN,1987,181.534709
IN,1986,175.610063
IN,1985,180.643068
IN,1984,182.670704
IN,1983,166.202865
IN,1982,159.798634
IN,1981,176.377311
IN,1980,181.770411
HI,2017,17.728714
HI,2016,18.509989
HI,2015,18.581497
HI,2014,18.418707
HI,2013,18.457714
HI,2012,18.930649
HI,2011,19.471834
HI,2010,19.034575
HI,2009,18.890497
HI,2008,19.309235
HI,2007,24.021236
HI,2006,23.202675
HI,2005,22.927143
HI,2004,22.324847
HI,2003,21.361891
HI,2002,20.41067
HI,2001,19.174868
HI,2000,18.696905
HI,1999,18.434304
HI,1998,18.729058
HI,1997,18.666059
HI,1996,19.223004
HI,1995,20.247908
HI,1994,20.30293
HI,1993,18.929428
HI,1992,20.664118
HI,1991,19.637486
HI,1990,21.641617
HI,1989,20.663898
HI,1988,19.779533
HI,1987,16.812065
HI,1986,16.738959
HI,1985,17.059623
HI,1984,15.937527
HI,1983,15.07632
HI,1982,15.052821
HI,1981,16.331151
HI,1980,18.169818
FL,2017,227.957278
FL,2016,229.211894
FL,2015,231.401212
FL,2014,227.026655
FL,2013,221.129496
FL,2012,222.060114
FL,2011,228.354541
FL,2010,241.444374
FL,2009,223.440307
FL,2008,237.796669
FL,2007,256.012711
FL,2006,258.18819
FL,2005,259.628424
FL,2004,256.241466
FL,2003,245.202365
FL,2002,240.926865
FL,2001,237.715115
FL,2000,238.810843
FL,1999,230.498763
FL,1998,230.987601
FL,1997,218.083041
FL,1996,213.052423
FL,1995,207.515306
FL,1994,202.257008
FL,1993,194.92883
FL,1992,191.845831
FL,1991,189.523916
FL,1990,188.324992
FL,1989,188.248885
FL,1988,183.954247
FL,1987,173.793651
FL,1986,163.634566
FL,1985,152.313643
FL,1984,143.798962
FL,1983,146.844873
FL,1982,140.907069
FL,1981,157.293882
FL,1980,157.155756
LA,2017,227.860278
LA,2016,219.759237
LA,2015,218.130213
LA,2014,215.80254
LA,2013,218.571103
LA,2012,225.938334
LA,2011,238.454898
LA,2010,235.891603
LA,2009,222.406423
LA,2008,239.337213
LA,2007,237.367465
LA,2006,233.291716
LA,2005,223.410348
LA,2004,231.508885
LA,2003,219.349073
LA,2002,222.86424
LA,2001,214.279814
LA,2000,241.851916
LA,1999,222.522304
LA,1998,223.655214
LA,1997,236.558215
LA,1996,228.783413
LA,1995,223.675125
LA,1994,223.50569
LA,1993,216.515829
LA,1992,213.807151
LA,1991,206.127219
LA,1990,207.127473
LA,1989,201.864981
LA,1988,197.539558
LA,1987,189.903459
LA,1986,189.919329
LA,1985,177.979328
LA,1984,188.791525
LA,1983,186.374671
LA,1982,198.282829
LA,1981,219.203703
LA,1980,220.77608
WA,2017,78.732677
WA,2016,78.443075
WA,2015,73.06239
WA,2014,71.204237
WA,2013,72.679159
WA,2012,67.912628
WA,2011,68.149752
